# -------------------------------------------------------
# App: com.sudoku327, date: 20131208-20131209
# -------------------------------------------------------

date,carrier,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20131209,Vodafone - NL,1,0,0,0,1,1,0,0
20131209,Virgin Mobile,1,0,0,0,1,1,0,0
20131209,Verizon Wireless,8,2,0,0,8,8,2,0
20131209,UNKNOWN,2,0,0,0,2,2,0,0
20131209,T-Mobile - US,4,4,1,0,4,6,4,1
20131209,Sprint,5,1,0,0,5,5,1,0
20131209,AT&T,8,3,0,0,8,8,3,0
20131208,Virgin Mobile,1,1,0,0,1,1,1,0
20131208,Verizon Wireless,6,6,0,0,6,6,6,0
20131208,UNKNOWN,3,3,0,0,3,3,3,0
20131208,T-Mobile - US,2,2,0,0,2,2,2,0
20131208,Sprint,4,4,0,0,4,4,4,0
20131208,AT&T,5,5,0,0,5,5,5,0
